Mês;Geral, grupo, subgrupo, item e subitem;Cód.;Brasil e Região Metropolitana até 2020;IPCA - Variação mensal (%);IPCA - Variação acumulada no ano (%);IPCA - Variação acumulada em 12 meses (%);IPCA - Peso mensal (%)
01/08/2023;1.Alimentação e bebidas;1;Brasil;-0.85;-0.31;1.08;21.3465
01/08/2023;1.Alimentação e bebidas;1501;Belém (PA);-0.74;-0.24;1.60;27.2775
01/08/2023;1.Alimentação e bebidas;2301;Fortaleza (CE);-0.59;0.20;1.37;24.3549
01/08/2023;1.Alimentação e bebidas;2601;Recife (PE);-0.82;0.46;2.27;23.9320
01/08/2023;1.Alimentação e bebidas;2901;Salvador (BA);-0.67;-0.32;1.26;22.8835
01/08/2023;1.Alimentação e bebidas;3101;Belo Horizonte (MG);-0.91;-2.34;1.52;21.8598
01/08/2023;1.Alimentação e bebidas;3201;Grande Vitória (ES);-1.31;-1.20;1.03;17.8064
01/08/2023;1.Alimentação e bebidas;3301;Rio de Janeiro (RJ);-0.87;-1.09;0.02;20.4584
01/08/2023;1.Alimentação e bebidas;3501;São Paulo (SP);-0.75;0.83;1.43;20.2720
01/08/2023;1.Alimentação e bebidas;4101;Curitiba (PR);-1.38;-0.42;0.19;21.2241
01/08/2023;1.Alimentação e bebidas;4301;Porto Alegre (RS);-1.11;-0.15;0.39;21.6340
01/08/2023;11.Alimentação no domicílio;1;Brasil;-1.26;-1.82;-0.62;15.4905
01/08/2023;11.Alimentação no domicílio;1501;Belém (PA);-1.16;-1.16;0.68;21.9354
01/08/2023;11.Alimentação no domicílio;2301;Fortaleza (CE);-0.78;-0.95;0.40;18.5970
01/08/2023;11.Alimentação no domicílio;2601;Recife (PE);-1.36;-1.00;0.54;17.5545
01/08/2023;11.Alimentação no domicílio;2901;Salvador (BA);-0.88;-1.42;-0.10;17.1102
01/08/2023;11.Alimentação no domicílio;3101;Belo Horizonte (MG);-1.39;-4.60;-0.51;16.0079
01/08/2023;11.Alimentação no domicílio;3201;Grande Vitória (ES);-1.83;-3.08;-1.31;13.4424
01/08/2023;11.Alimentação no domicílio;3301;Rio de Janeiro (RJ);-1.22;-2.43;-1.60;14.7768
01/08/2023;11.Alimentação no domicílio;3501;São Paulo (SP);-1.03;-0.54;-0.37;14.0379
01/08/2023;11.Alimentação no domicílio;4101;Curitiba (PR);-1.86;-1.31;-1.09;15.7209
01/08/2023;11.Alimentação no domicílio;4301;Porto Alegre (RS);-1.78;-1.73;-1.46;15.8860
01/08/2023;1101.Cereais, leguminosas e oleaginosas;1;Brasil;-0.68;2.73;5.78;0.8615
01/08/2023;1101.Cereais, leguminosas e oleaginosas;1501;Belém (PA);-1.57;3.30;4.36;1.0152
01/08/2023;1101.Cereais, leguminosas e oleaginosas;2301;Fortaleza (CE);-1.85;4.55;9.56;1.6985
01/08/2023;1101.Cereais, leguminosas e oleaginosas;2601;Recife (PE);-0.85;7.34;3.86;0.9683
01/08/2023;1101.Cereais, leguminosas e oleaginosas;2901;Salvador (BA);-1.64;1.39;3.27;0.8861
01/08/2023;1101.Cereais, leguminosas e oleaginosas;3101;Belo Horizonte (MG);0.33;-0.41;3.69;0.9105
01/08/2023;1101.Cereais, leguminosas e oleaginosas;3201;Grande Vitória (ES);1.39;3.36;11.67;0.6217
