"cod_dim_produto","grupo","subgrupo","nome","codigo"
1,"Alimentação no domicílio","Cereais, leguminosas e oleaginosas","Arroz",1101002
2,"Alimentação no domicílio","Cereais, leguminosas e oleaginosas","Feijão - mulatinho",1101051
3,"Alimentação no domicílio","Cereais, leguminosas e oleaginosas","Feijão - preto",1101052
4,"Alimentação no domicílio","Cereais, leguminosas e oleaginosas","Feijão - macáçar (fradinho)",1101053
5,"Alimentação no domicílio","Cereais, leguminosas e oleaginosas","Feijão - carioca (rajado)",1101073
6,"Alimentação no domicílio","Cereais, leguminosas e oleaginosas","Milho (em grão)",1101079
7,"Alimentação no domicílio","Farinhas, féculas e massas","Farinha de arroz",1102001
8,"Alimentação no domicílio","Farinhas, féculas e massas","Macarrão",1102006
9,"Alimentação no domicílio","Farinhas, féculas e massas","Fubá de milho",1102008
10,"Alimentação no domicílio","Farinhas, féculas e massas","Flocos de milho",1102010
11,"Alimentação no domicílio","Farinhas, féculas e massas","Farinha de trigo",1102012
12,"Alimentação no domicílio","Farinhas, féculas e massas","Farinha de mandioca",1102023
13,"Alimentação no domicílio","Farinhas, féculas e massas","Massa semipreparada",1102029
14,"Alimentação no domicílio","Farinhas, féculas e massas","Macarrão instantâneo",1102061
15,"Alimentação no domicílio","Tubérculos, raízes e legumes","Batata-doce",1103002
16,"Alimentação no domicílio","Tubérculos, raízes e legumes","Batata-inglesa",1103003
17,"Alimentação no domicílio","Tubérculos, raízes e legumes","Inhame",1103004
18,"Alimentação no domicílio","Tubérculos, raízes e legumes","Mandioca (aipim)",1103005
19,"Alimentação no domicílio","Tubérculos, raízes e legumes","Abobrinha",1103020
20,"Alimentação no domicílio","Tubérculos, raízes e legumes","Pepino",1103025
21,"Alimentação no domicílio","Tubérculos, raízes e legumes","Pimentão",1103026
22,"Alimentação no domicílio","Tubérculos, raízes e legumes","Tomate",1103028
23,"Alimentação no domicílio","Tubérculos, raízes e legumes","Cebola",1103043
24,"Alimentação no domicílio","Tubérculos, raízes e legumes","Cenoura",1103044
25,"Alimentação no domicílio","Açúcares e derivados","Açúcar refinado",1104003
26,"Alimentação no domicílio","Açúcares e derivados","Açúcar cristal",1104004
27,"Alimentação no domicílio","Açúcares e derivados","Balas",1104018
28,"Alimentação no domicílio","Açúcares e derivados","Chocolate em barra e bombom",1104023
29,"Alimentação no domicílio","Açúcares e derivados","Sorvete",1104032
30,"Alimentação no domicílio","Açúcares e derivados","Chocolate e achocolatado em pó",1104052
31,"Alimentação no domicílio","Açúcares e derivados","Doce de frutas em pasta",1104060
32,"Alimentação no domicílio","Açúcares e derivados","Açúcar demerara",1104067
33,"Alimentação no domicílio","Hortaliças e verduras","Alface",1105001
34,"Alimentação no domicílio","Hortaliças e verduras","Coentro",1105004
35,"Alimentação no domicílio","Hortaliças e verduras","Couve",1105005
36,"Alimentação no domicílio","Hortaliças e verduras","Couve-flor",1105006
37,"Alimentação no domicílio","Hortaliças e verduras","Repolho",1105010
38,"Alimentação no domicílio","Hortaliças e verduras","Cheiro-verde",1105012
39,"Alimentação no domicílio","Hortaliças e verduras","Brócolis",1105019
40,"Alimentação no domicílio","Frutas","Banana-da-terra",1106001
41,"Alimentação no domicílio","Frutas","Abacaxi",1106003
42,"Alimentação no domicílio","Frutas","Abacate",1106004
43,"Alimentação no domicílio","Frutas","Banana - d'água",1106005
