"cod_dim_tempo","mes","nome_mes","ano","mes_ano","trimestre","semestre"
1,9,"Setembro",2023,"09/2023",3,2
2,10,"Outubro",2023,"10/2023",4,2
3,11,"Novembro",2023,"11/2023",4,2
4,12,"Dezembro",2023,"12/2023",4,2
5,1,"Janeiro",2024,"01/2024",1,1
6,2,"Fevereiro",2024,"02/2024",1,1
7,3,"Março",2024,"03/2024",1,1
8,4,"Abril",2024,"04/2024",2,1
9,5,"Maio",2024,"05/2024",2,1
10,6,"Junho",2024,"06/2024",2,1
11,7,"Julho",2024,"07/2024",3,2
12,8,"Agosto",2024,"08/2024",3,2
13,9,"Setembro",2024,"09/2024",3,2
14,10,"Outubro",2024,"10/2024",4,2
15,11,"Novembro",2024,"11/2024",4,2
16,12,"Dezembro",2024,"12/2024",4,2
17,1,"Janeiro",2025,"01/2025",1,1
18,2,"Fevereiro",2025,"02/2025",1,1
19,3,"Março",2025,"03/2025",1,1
20,4,"Abril",2025,"04/2025",2,1
21,5,"Maio",2025,"05/2025",2,1
22,6,"Junho",2025,"06/2025",2,1
23,7,"Julho",2025,"07/2025",3,2
24,8,"Agosto",2025,"08/2025",3,2
