"cod_dim_produto","cod_dim_tempo","cod_dim_local","variacao_mensal","variacao_acum_anual","variacao_acum_12_meses","peso_mensal"
1,1,1,"0.4400","9.6000","12.2400","0.7253"
1,2,1,"0.7600","10.4300","13.1800","0.7253"
1,3,1,"2.0200","12.6600","14.3500","0.7312"
1,4,1,"4.8100","18.0800","18.0800","0.7450"
1,5,1,"8.4200","8.4200","25.9200","0.7751"
1,6,1,"-1.4700","6.8300","21.5600","0.8342"
1,7,1,"-1.1200","5.6300","13.9900","0.8163"
1,8,1,"-0.1300","5.5000","12.9000","0.8028"
1,9,1,"-3.1400","2.1800","8.6800","0.7992"
1,10,1,"1.2500","3.4600","12.0300","0.7731"
1,11,1,"0.0100","3.4600","13.3000","0.7817"
1,12,1,"-2.7300","0.6400","8.9100","0.7787"
1,13,1,"-2.7700","-2.1500","5.4200","0.7605"
1,14,1,"-3.6200","-5.6900","0.8400","0.7381"
1,15,1,"0.7800","-4.9600","-0.3900","0.7058"
1,16,1,"-0.3600","-5.3000","-5.3000","0.7081"
1,17,1,"-1.1500","-1.1500","-13.6600","0.7011"
1,18,1,"-2.0900","-3.2200","-14.2000","0.6916"
1,19,1,"-2.8800","-6.0100","-15.7300","0.6669"
1,20,1,"-3.3100","-9.1100","-18.4100","0.6454"
1,21,1,"0.1600","-8.9700","-15.6300","0.6214"
1,22,1,"-5.7400","-14.2000","-21.4500","0.6183"
1,23,1,"-5.7900","-19.1700","-26.0100","0.5819"
1,24,1,"-2.8600","-21.4800","-26.1100","0.5484"
3,1,1,"-2.0500","5.6100","7.0700","0.0846"
3,2,1,"-1.4900","4.0400","7.3700","0.0825"
3,3,1,"2.9900","7.1400","8.2600","0.0813"
3,4,1,"14.9100","23.1200","23.1200","0.0836"
3,5,1,"5.3500","5.3500","22.7800","0.0954"
3,6,1,"2.3300","7.8100","16.1400","0.0997"
3,7,1,"-0.0500","7.7600","7.9000","0.1014"
3,8,1,"-1.5300","6.1100","8.6400","0.1008"
3,9,1,"-10.7700","-5.3200","-4.6900","0.0989"
3,10,1,"-3.3200","-8.4600","-1.1900","0.0881"
3,11,1,"-0.0900","-8.5400","1.8600","0.0851"
3,12,1,"-3.4500","-11.6900","0.8400","0.0847"
3,13,1,"3.4000","-8.6800","6.4500","0.0821"
3,14,1,"4.0000","-5.0300","12.3900","0.0848"
3,15,1,"-0.3300","-5.3400","8.7700","0.0875"
3,16,1,"-1.0400","-6.3300","-6.3300","0.0868"
3,17,1,"-1.9400","-1.9400","-12.8100","0.0853"
3,18,1,"-6.1600","-7.9800","-20.0400","0.0835"
3,19,1,"-3.8100","-11.4900","-23.0600","0.0772"
3,20,1,"-6.1800","-16.9600","-26.6900","0.0740"
3,21,1,"-4.5400","-20.7200","-21.5700","0.0691"
3,22,1,"-1.7100","-22.0800","-20.2600","0.0655"
3,23,1,"-3.4100","-24.7300","-22.9100","0.0643"
3,24,1,"-2.5700","-26.6700","-22.2200","0.0621"
5,1,1,"-10.5000","-24.8600","-22.2300","0.1831"
